aikuwentu,a.ɪ.k.u.w.e.n.t.u,ɪ
aintindian,a.ɪ.t.i.n.d.ʒ.a.n,ɪ
ay~{un},a.j.~.{.u.n.},{
ay~{un},a.j.~.{.u.n.},}
ay~{un},a.j.~.{.u.n.},~
a~aku,a.~.a.k.u,~
ba-box,b.a.b.o.x,x
bau,b.a.ʊ,ʊ
bulacan,b.u.l.a.c.a.n,c
co,c.o,c
daig,d.a.ɪ.ɡ,ɪ
dailan,d.a.ɪ.l.a.n,ɪ
ev,e.v,v
hike,h.a.ɪ.k,ɪ
hiking,h.a.ɪ.k.i.ŋ,ɪ
inverted,i.n.v.e.r.t.e.d,v
istick,i.s.t.i.c.k,c
ka-batch,k.a.b.a.t.c.h,c
kabatch,k.a.b.a.t.c.h,c
kai,k.a.ɪ,ɪ
kaibat,k.a.ɪ.b.a.t,ɪ
kailangan,k.a.ɪ.l.a.ŋ.a.n,ɪ
kait,k.a.ɪ.t,ɪ
mabait,m.a.b.a.ɪ.t,ɪ
mag-hike,m.a.ɡ.h.a.ɪ.k,ɪ
mag-hiking,m.a.ɡ.h.a.ɪ.k.i.ŋ,ɪ
magaq,m.a.ɡ.a.q,q
mag~usal,m.a.ɡ.~.u.s.a.l,~
maili,m.a.ɪ.l.i,ɪ
mailig,m.a.ɪ.l.i.ɡ,ɪ
mainip,m.a.ɪ.n.i.p,ɪ
makaidlip,m.a.k.a.ɪ.d.l.i.p,ɪ
makainip,m.a.k.a.ɪ.n.i.p,ɪ
manaus,m.a.n.a.ʊ.s,ʊ
marerecord,m.a.r.e.r.e.c.o.r.d,c
mikaisip,m.i.k.a.ɪ.s.i.p,ɪ
mi~san,m.i.~.s.a.n,~
na't,n.a.'.t,'
negative,n.e.ɡ.a.t.i.v.e,v
packing,p.a.c.k.i.ŋ,c
pag-hike,p.a.ɡ.h.a.ɪ.k,ɪ
pag-hiking,p.a.ɡ.h.a.ɪ.k.i.ŋ,ɪ
paisip,p.a.ɪ.s.i.p,ɪ
pamag-hiking,p.a.m.a.ɡ.h.a.ɪ.k.i.ŋ,ɪ
panaun,p.a.n.a.ʊ.n,ʊ
pang-hiking,p.a.ŋ.h.a.ɪ.k.i.ŋ,ɪ
pangangailangan,p.a.n.ɡ.a.n.ɡ.a.ɪ.l.a.n.ɡ.a.n,ɪ
paulit-ulit,p.a.ʊ.l.i.t.u.l.i.t,ʊ
peka-favorite,p.e.k.a.f.a.v.o.r.i.t.e,v
pekaimportanting,p.e.k.a.ɪ.m.p.o.r.t.a.n.t.i.ŋ,ɪ
request,r.e.q.u.e.s.t,q
selfon,s.e.l.f.o.ʊ.n,ʊ
tau,t.a.ʊ,ʊ
taun,t.a.ʊ.n,ʊ
taung,t.a.ʊ.ŋ,ʊ
tipical,t.i.p.i.c.a.l,c
