lang,phone,phone_ipa,c_type
Yali,k,k,stop
Yali,b,b,stop
Yali,j,j,approximant
Yali,<<ui>angkila>,,
Yali,a,a,non-high monophthong
Yali,R,ʁ,liquid
Yali,p\,ɸ,fricative
Yali,tS,tʃ,affricate
Yali,t,t,stop
Yali,<<fs>mai>,,
Yali,n,n,nasal
Yali,l,l,liquid
Yali,g,ɡ,stop
Yali,w,w,approximant
Yali,m,m,nasal
Yali,d,d,stop
Yali,r,r,liquid
Yali,X,χ,fricative
Yali,i,i,high monophthong
Yali,<<fm>alkitab>,,
Yali,o,o,non-high monophthong
Yali,B,β,fricative
Yali,dZ,dʒ,affricate
Yali,e,e,non-high monophthong
Yali,s,s,fricative
Yali,N,ŋ,nasal
Yali,u,u,high monophthong
Yali,p,p,stop
Arapaho,E,ɛ,non-high monophthong
Arapaho,}:,ʉː,high monophthong
Arapaho,k,k,stop
Arapaho,x,x,fricative
Arapaho,?,ʔ,stop
Arapaho,O,ɔ,non-high monophthong
Arapaho,I,ɪ,high monophthong
Arapaho,j,j,approximant
Arapaho,b,b,stop
Arapaho,o},oʉ,diphthong
Arapaho,O:,ɔː,non-high monophthong
Arapaho,tS,tʃ,affricate
Arapaho,t,t,stop
Arapaho,E:,ɛː,non-high monophthong
Arapaho,n,n,nasal
Arapaho,Ai,ɑi,diphthong
Arapaho,ei:,eiː,diphthong
Arapaho,w,w,approximant
Arapaho,Ai:,ɑiː,diphthong
Arapaho,f,f,fricative
Arapaho,I:,ɪː,high monophthong
Arapaho,ei,ei,diphthong
Arapaho,T,θ,fricative
Arapaho,h,h,fricative
Arapaho,},ʉ,high monophthong
Arapaho,o}:,oʉː,diphthong
Arapaho,s,s,fricative
Gubeeher,E,ɛ,non-high monophthong
Gubeeher,@:,əː,non-high monophthong
Gubeeher,k,k,stop
Gubeeher,x,x,fricative
Gubeeher,O,ɔ,non-high monophthong
Gubeeher,b,b,stop
Gubeeher,j,j,approximant
Gubeeher,I,ɪ,high monophthong
Gubeeher,a,a,non-high monophthong
Gubeeher,u:,uː,high monophthong
Gubeeher,O:,ɔː,non-high monophthong
Gubeeher,t,t,stop
Gubeeher,E:,ɛː,non-high monophthong
Gubeeher,U:,ʊː,high monophthong
Gubeeher,o:,oː,non-high monophthong
Gubeeher,S,ʃ,fricative
Gubeeher,n,n,nasal
Gubeeher,l,l,liquid
Gubeeher,g,ɡ,stop
Gubeeher,w,w,approximant
Gubeeher,@,ə,non-high monophthong
Gubeeher,m,m,nasal
Gubeeher,f,f,fricative
Gubeeher,J,ɲ,nasal
Gubeeher,J\,ɟ,stop
Gubeeher,d,d,stop
Gubeeher,i:,iː,high monophthong
Gubeeher,a:,aː,non-high monophthong
Gubeeher,v,v,fricative
Gubeeher,I:,ɪː,high monophthong
Gubeeher,e:,eː,non-high monophthong
Gubeeher,r,r,liquid
Gubeeher,i,i,high monophthong
Gubeeher,o,o,non-high monophthong
Gubeeher,h,h,fricative
Gubeeher,e,e,non-high monophthong
Gubeeher,s,s,fricative
Gubeeher,N,ŋ,nasal
Gubeeher,ts\,tɕ,affricate
