LANGUAGE,FOLDER,SPEAKER,FILE,WORD,WORD_TRS,WORD_START,WORD_END,PHONE,SEGMENT_TYPE,PHONE_START,PHONE_END,PHONE_ALIGNMENT,PHONE_QUALITY,COMMET
Taiwan Mandarin,taiwanese_mandarin,mn_tw_11,mn_tw_11_rs,shang4,shang,15.5507,15.8507,ng,consonant,15.7507,15.8507,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_11,mn_tw_11_rs,de5,de,49.0215,49.1515,e,vowel,49.0815,49.1515,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_11,mn_tw_11_rs,jian3qing1,jyanqing,83.3629,83.8029,q,consonant,83.5829,83.6929,misaligned,NA,"""i don't hear /q/ at all it sounds the segment is replaced by an affricate"""
Taiwan Mandarin,taiwanese_mandarin,mn_tw_11,mn_tw_11_rs,rang4,rang,121.5119,121.7419,a,vowel,121.6119,121.6419,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_11,mn_tw_11_rs,deng1shan1,dengshan,128.7868,129.1568,sh,consonant,128.9668,129.0368,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_11,mn_tw_11_rs,ping2jing4,pingjing,131.4368,131.9368,i,vowel,131.7968,131.8568,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_11,mn_tw_11_rs,de5,de,188.9665,189.1165,d,consonant,188.9665,189.0365,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_11,mn_tw_11_rs,you3,you,207.752,207.842,ou,vowel,207.802,207.842,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_11,mn_tw_11_rs,shi2,shii,224.5634,224.7334,sh,consonant,224.5634,224.6934,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_11,mn_tw_11_rs,yi1ju3,ijv,224.9334,225.2034,j,consonant,225.0234,225.1434,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_11,mn_tw_11_rs,ni3,ni,249.1831,249.3031,i,vowel,249.2331,249.3031,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_11,mn_tw_11_rs,de5,de,250.9231,251.0331,e,vowel,250.9931,251.0331,misaligned,NA,don't hear /e/
Taiwan Mandarin,taiwanese_mandarin,mn_tw_11,mn_tw_11_rs,shi4,shii,300.6464,300.8664,sh,consonant,300.6464,300.7564,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_11,mn_tw_11_rs,an1quan2,anquean,337.6914,338.0614,a,vowel,337.9814,338.0114,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_11,mn_tw_11_rs,hua1qian2,hwaqyan,341.4714,341.7914,q,consonant,341.5814,341.6714,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_11,mn_tw_11_ss,wo3,wo,32.9196,33.0596,o,vowel,33.0296,33.0596,misaligned,NA,don't hear the phone
Taiwan Mandarin,taiwanese_mandarin,mn_tw_11,mn_tw_11_ss,ren2,ren,47.4835,47.5735,n,consonant,47.5435,47.5735,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_11,mn_tw_11_ss,bu4,bu,48.1135,48.2735,u,vowel,48.1935,48.2735,misaligned,NA,don't hear the phone /u/ it sounds like a weird diphthong
Taiwan Mandarin,taiwanese_mandarin,mn_tw_11,mn_tw_11_ss,de5,de,93.3483,93.5183,e,vowel,93.3783,93.5183,misaligned,NA,just white noise really
Taiwan Mandarin,taiwanese_mandarin,mn_tw_11,mn_tw_11_ss,zui4,zwei,141.3138,141.4638,w,consonant,141.4038,141.4338,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_14,mn_tw_14_rs,huo4che1,hwoche,46.6623,46.8123,w,consonant,46.6923,46.7223,OK,NA,whole word is off
Taiwan Mandarin,taiwanese_mandarin,mn_tw_14,mn_tw_14_rs,gong1zuo4,gongzwo,104.0512,104.3912,ng,consonant,104.1812,104.2412,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_14,mn_tw_14_rs,da1pei4,dapei,118.7314,119.1614,ei,vowel,119.0314,119.1614,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_14,mn_tw_14_rs,dai4qu4,daiqv,120.2114,120.6114,v,vowel,120.5814,120.6114,misaligned,NA,can't hear /v/
Taiwan Mandarin,taiwanese_mandarin,mn_tw_14,mn_tw_14_rs,yao4yong4,yaoyong,161.3883,161.5783,o,vowel,161.4783,161.5183,misaligned,NA,can't tell
Taiwan Mandarin,taiwanese_mandarin,mn_tw_14,mn_tw_14_rs,kai1xin1,kaixin,184.1154,184.5654,i,vowel,184.3654,184.4154,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_14,mn_tw_14_rs,xuan3ze2,xueanze,221.4294,221.89940000000000,ue,consonant,221.5494,221.6094,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_14,mn_tw_14_rs,ye3,ye,244.3349,244.4249,y,consonant,244.3349,244.3949,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_14,mn_tw_14_rs,de5,de,362.8599,362.9399,d,consonant,362.8599,362.8899,misaligned,NA,seems /d/ is missing
Taiwan Mandarin,taiwanese_mandarin,mn_tw_14,mn_tw_14_rs,a5,a,366.0433,366.2333,a,vowel,366.0433,366.2333,misaligned,NA,segment continues into where /h/ is
Taiwan Mandarin,taiwanese_mandarin,mn_tw_14,mn_tw_14_rs,de5,de,383.7047,383.8147,d,consonant,383.7047,383.7747,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_14,mn_tw_14_rs,mei2you3,meiyou,420.5389,420.7089,ou,vowel,420.6589,420.7089,misaligned,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_14,mn_tw_14_rs,jiu4shi4,jyushii,436.2867,436.6567,u,vowel,436.3467,436.3867,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_14,mn_tw_14_rs,zi4ji3,ziiji,437.1733,437.5033,j,consonant,437.3433,437.4333,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_14,mn_tw_14_ss,neng2gou4,nenggou,54.1307,54.4507,n,consonant,54.1307,54.1607,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_14,mn_tw_14_ss,ni3,ni,78.573,78.813,n,consonant,78.573,78.663,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_14,mn_tw_14_ss,mei3tian1,meityan,99.698,100.038,a,vowel,99.978,100.008,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_14,mn_tw_14_ss,chu4fang1,chufang,133.6753,134.1153,a,vowel,133.9553,134.0553,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_14,mn_tw_14_ss,ben3shen1,benshen,134.4053,134.8353,e,vowel,134.4653,134.5053,misaligned,NA,"""should keep going sounds like /n/ is missing but /e/ continues?"""
Taiwan Mandarin,taiwanese_mandarin,mn_tw_14,mn_tw_14_ss,yun4dong4,vndong,219.9078,220.2878,ng,consonant,220.2278,220.2878,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_22,mn_tw_22_rs,yi1,i,9.7757,10.0157,i,vowel,9.7757,10.0157,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_22,mn_tw_22_rs,huo2dong4,hwodong,156.1217,156.6217,o,vowel,156.4417,156.5617,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_22,mn_tw_22_rs,jiang4di1,jyangdi,179.821,180.501,d,consonant,180.121,180.221,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_22,mn_tw_22_rs,ni3,ni,209.0139,209.1739,n,consonant,209.0139,209.0739,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_22,mn_tw_22_rs,bing4,bing,213.9394,214.14940000000000,i,vowel,213.9694,214.0294,misaligned,NA,/i/ should begin sooner
Taiwan Mandarin,taiwanese_mandarin,mn_tw_22,mn_tw_22_rs,rang4,rang,236.0157,236.3957,r,consonant,236.0157,236.1757,misaligned,NA,really doesn't sound like /r/
Taiwan Mandarin,taiwanese_mandarin,mn_tw_22,mn_tw_22_rs,fen1xin1,fenxin,243.027,243.757,i,vowel,243.537,243.627,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_22,mn_tw_22_rs,ye3,ye,249.3453,249.6353,e,vowel,249.6053,249.6353,misaligned,NA,/e/ should begin sooner
Taiwan Mandarin,taiwanese_mandarin,mn_tw_22,mn_tw_22_rs,sui1ran2,sweiran,269.1898,269.7598,a,vowel,269.5198,269.5998,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_22,mn_tw_22_rs,ping2tan3,pingtan,342.0336,342.6236,i,vowel,342.1436,342.2036,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_22,mn_tw_22_rs,xu1yao4,xvyao,394.7399,395.3599,ao,vowel,395.1399,395.3599,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_22,mn_tw_22_rs,shuo1di4,shwodi,511.6182,512.2182,w,consonant,511.7382,511.8482,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_22,mn_tw_22_rs,ren2,ren,520.1965,520.5465,r,consonant,520.1965,520.2865,OK,NA,assuming /r/ is able to sound more like /d/ as that's been a consistency in all of the supposed /r/ segments
Taiwan Mandarin,taiwanese_mandarin,mn_tw_22,mn_tw_22_rs,ren2,ren,520.1965,520.5465,e,vowel,520.2865,520.3965,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_22,mn_tw_22_rs,zhi1jian1,zhiijyan,521.1465,521.7865,j,consonant,521.4565,521.5265,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_22,mn_tw_22_rs,shi2guang1,shiigwang,534.2494,535.0194,a,vowel,534.7694,534.8394,misaligned,NA,segment should extend quite a bit more
Taiwan Mandarin,taiwanese_mandarin,mn_tw_22,mn_tw_22_rs,de5,de,623.9912,624.1412,d,consonant,623.9912,624.0412,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_22,mn_tw_22_ss,chang2da4,changda,121.3896,121.8296,d,consonant,121.6296,121.6796,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_22,mn_tw_22_ss,ta1men5,tamen,122.9696,123.7596,t,consonant,122.9696,123.0696,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_22,mn_tw_22_ss,can1jia1,canjya,252.605,253.235,n,consonant,252.825,252.975,OK,NA,half the segment is actually still /a/ 
Taiwan Mandarin,taiwanese_mandarin,mn_tw_23,mn_tw_23_rs,chu2fei1,chufei,13.1721,13.6821,f,consonant,13.4821,13.5421,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_23,mn_tw_23_rs,suan4,swan,18.7949,19.0449,a,vowel,18.9249,18.9849,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_23,mn_tw_23_rs,zeng1jia1,zengjya,55.042,55.452,y,consonant,55.292,55.332,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_23,mn_tw_23_rs,rou2ruan3,rourwan,66.0572,66.4772,a,vowel,66.3472,66.3772,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_23,mn_tw_23_rs,ren2,ren,71.0305,71.3005,e,vowel,71.1305,71.2005,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_23,mn_tw_23_rs,xie2zhu4,xyezhu,93.1585,93.5785,y,consonant,93.2985,93.3585,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_23,mn_tw_23_rs,hao3chu4,haochu,152.4689,152.9489,u,vowel,152.8389,152.9489,OK,NA,
Taiwan Mandarin,taiwanese_mandarin,mn_tw_23,mn_tw_23_rs,deng1shan1,dengshan,167.8376,168.2476,e,vowel,167.9276,167.9576,OK,NA,
