language,folder,speaker,file,word,word_start,word_end,phone,segment_type,phone_start,phone_end
Turkish,turkish,29302,29302_119,konuşmak,0.27,0.69,a,vowel,0.51,0.66
Turkish,turkish,29302,29302_135,konuşuyorsun,0.46,1.07,u,vowel,0.98,1.03
Turkish,turkish,29302,29302_159,kaynaklanan,0.66,1.32,k,consonant,0.97,1
Turkish,turkish,29302,29302_159,konuşmak,1.75,2.46,u,vowel,1.98,2.02
Turkish,turkish,29302,29302_163,insanlar,0.09,0.62,a,vowel,0.5,0.57
Turkish,turkish,29302,29302_167,sanki,1.37,1.86,s̪,consonant,1.37,1.52
Turkish,turkish,29302,29302_174,yürümek,4.08,4.66,c,consonant,4.54,4.66
Turkish,turkish,29302,29302_178,doğasında,0.82,1.44,d̪,consonant,0.82,0.88
Turkish,turkish,29302,29302_180,insanlardır,5.07,5.66,n̪,consonant,5.33,5.4
Turkish,turkish,29302,29302_182,düşünce,4.16,4.77,e,vowel,4.76,4.77
Turkish,turkish,29302,29302_184,konuda,2.71,3.14,d̪,consonant,2.99,3.05
Turkish,turkish,29302,29302_25,konuşabiliriz,0.74,1.31,ʃ,consonant,0.93,0.96
Turkish,turkish,29302,29302_37,mustafa,0.85,1.48,s̪,consonant,1.03,1.08
Turkish,turkish,29302,29302_57,farklı,0.47,0.82,ɫ,consonant,0.72,0.78
Turkish,turkish,29302,29302_71,ne,9.16,9.33,e,vowel,9.28,9.33
Turkish,turkish,29302,29302_71,alem,9.33,9.81,a,vowel,9.33,9.55
Turkish,turkish,29302,29302_74,avusturya'da,2.71,3.55,a,vowel,2.71,2.88
Turkish,turkish,29302,29302_88,geliyor,0.55,1.02,ɟ,consonant,0.55,0.63
Turkish,turkish,29302,29302_88,geliyor,0.55,1.02,o,vowel,0.96,0.99
Turkish,turkish,29302,29302_94,sesin,0.51,0.93,i,vowel,0.78,0.82
Turkish,turkish,30554,30554_100,değil,2.26,2.4,i,vowel,2.35,2.38
Turkish,turkish,30554,30554_12,yapıyorsunuz,1.9,2.2,z̪,consonant,2.17,2.2
Turkish,turkish,30554,30554_138,oğlum,1.62,1.86,m,consonant,1.78,1.86
Turkish,turkish,30554,30554_138,lazım,5.19,5.6,ʎ,consonant,5.19,5.21
Turkish,turkish,30554,30554_146,faydalanırsın,6.2,6.98,ɯ,vowel,6.88,6.9
Turkish,turkish,30554,30554_148,demezsin,4.94,5.52,i,vowel,5.39,5.46
Turkish,turkish,30554,30554_148,demezsin,4.94,5.52,n̪,consonant,5.46,5.52
Turkish,turkish,30554,30554_152,doğru,0.69,1.04,ɾ,consonant,0.96,0.97
Turkish,turkish,30554,30554_156,tamam,0.09,0.49,a,vowel,0.3,0.4
Turkish,turkish,30554,30554_172,olmuşsun,0.85,1.24,u,vowel,1.14,1.18
Turkish,turkish,30554,30554_186,kar,0.21,0.35,c,consonant,0.21,0.24
Turkish,turkish,30554,30554_186,geliyormuş,0.35,0.86,ʎ,consonant,0.49,0.51
Turkish,turkish,30554,30554_186,yağmıyor,2.19,2.42,ɯ,vowel,2.29,2.31
Turkish,turkish,30554,30554_186,gelecekmiş,3.59,4.2,m,consonant,4.06,4.11
Turkish,turkish,30554,30554_190,lazım,1.56,1.88,m,consonant,1.85,1.88
Turkish,turkish,30554,30554_229,sporu,1.97,2.35,u,vowel,2.34,2.35
Turkish,turkish,30554,30554_24,diyorum,3.47,3.8,i,vowel,3.5,3.53
Turkish,turkish,30554,30554_24,diyorum,3.47,3.8,u,vowel,3.73,3.76
Turkish,turkish,30554,30554_56,geliyor,0.54,0.86,e,vowel,0.59,0.66
Turkish,turkish,30554,30554_56,akşamı,1.12,1.54,m,consonant,1.48,1.53
Turkish,turkish,37111,37111_118,yani,2.48,2.65,aː,vowel,2.54,2.6
Turkish,turkish,37111,37111_148,planlıyoruz,0.91,1.52,p,consonant,0.91,1.03
Turkish,turkish,37111,37111_148,akşama,1.92,2.28,a,vowel,1.92,1.96
Turkish,turkish,37111,37111_150,ama,3.19,3.65,a,vowel,3.19,3.24
Turkish,turkish,37111,37111_16,bilmiyorum,1.16,1.8,i,vowel,1.24,1.3
Turkish,turkish,37111,37111_173,olduğunu,12.77,13.2,o,vowel,12.77,12.8
Turkish,turkish,37111,37111_20,dokunmaz,5.69,6.3,o,vowel,5.78,5.85
Turkish,turkish,37111,37111_20,yani,6.34,6.65,j,consonant,6.34,6.44
Turkish,turkish,37111,37111_22,paranın,2.62,3.05,ɾ,consonant,2.81,2.82
Turkish,turkish,37111,37111_24,ol,2.77,2.89,ɫ,consonant,2.85,2.89
Turkish,turkish,37111,37111_42,şimdiye,1.38,1.85,i,vowel,1.57,1.68
Turkish,turkish,37111,37111_42,günümdü,5.88,6.3,n̪,consonant,5.99,6.05
Turkish,turkish,37111,37111_6,ya,1.01,1.1,j,consonant,1.01,1.04
Turkish,turkish,37111,37111_6,bir,1.22,1.33,i,vowel,1.26,1.32
Turkish,turkish,37111,37111_6,sorun,1.33,1.68,n̪,consonant,1.63,1.68
Turkish,turkish,37111,37111_61,daha,2.11,2.43,d̪,consonant,2.11,2.17
Turkish,turkish,37111,37111_67,da,2.34,2.43,d̪,consonant,2.34,2.38
Turkish,turkish,37111,37111_89,garantisi,0.68,1.22,i,vowel,1.13,1.16
Turkish,turkish,37111,37111_96,herhalde,0.11,0.45,h,consonant,0.22,0.29
Turkish,turkish,37111,37111_96,kırık,2.97,3.28,ɯ,vowel,3.05,3.08
